title,address,decision,decisionDate
Title,Address,FAD,FAD Date
Bab El Salam Restaurant LLC ,"129 W. Centre Ave.  
Portage, MI 49024-5335          ",Denial          ,10/26/2016          
LK Mini Market ,"6025 Pacific Ave.  
Stockton, CA 95207          ",Denial          ,10/26/2016          
Euclid Market ,"4268 Euclid Ave.  
San Diego, CA 92115-4977          ",Denial          ,10/12/2016          
Baliâ€™s Food Mart ,"12259 Veterans Memorial Drive  
Houston, TX 77067-1091          ",Denial          ,10/25/2016          
Al's Deli ,"10604 Superior Ave.  
Cleveland, OH 44106          ",Denial          ,10/14/2016          
Quick & Easy Market & Deli  ,"107 Main St. N  
Carthage, TN 37030-1562          ",Denial          ,10/11/2016          
Paul's Fish Market ,"404 W. Highway 76  
Nichols, SC 29581          ",Denial          ,10/25/2016          
Paps Deli & Meat Market LLC ,"2627 W. Burleigh St.  
Milwaukee, WI 53206-1208          ",Denial          ,10/21/2016          
Amen Market ,"16053 Aurora Ave. N  
    Suite D  
Shoreline, WA 98133          ",Denial          ,10/12/2016          
Main Street Seafood & Deli ,"912 Main St.  
Columbia, MS 39429          ",Denial          ,10/27/2016          
